Source,/Users/ihartwig/repos/rpi-labio/pcb/labio.sch
Kicad Rev,Eeschema 4.0.0-stable
Generated Date,Tuesday, July 26, 2016 'AMt' 01:45:02 AM

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Footprint,Library,Library Ref
P1,CONN_02X20,labio-special:Pin_Header_Straight_TH-SMT-NoPaste_2x20,conn,CONN_02X20
IC201,dnp-AT24CS32-XHM,Housings_SSOP:TSSOP-8_4.4x3mm_Pitch0.65mm,memory,AT24CS32-XHM
R203,dnp-10k,Resistors_SMD:R_0603,device,R_Small
R204,dnp-3.9k,Resistors_SMD:R_0603,device,R_Small
R205,dnp-3.9k,Resistors_SMD:R_0603,device,R_Small
W202,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,conn,TEST_1P
W201,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,conn,TEST_1P
R202,4.7k,Resistors_SMD:R_0603,device,R_Small
R201,4.7k,Resistors_SMD:R_0603,device,R_Small
U201,AP7365_SOT-23-5,TO_SOT_Packages_SMD:SOT-23-5,labio-special,AP7365_SOT-23-5
C201,0.1uF,Capacitors_SMD:C_0603,device,C_Small
C202,0.1uF,Capacitors_SMD:C_0603,device,C_Small
U301,ADS1015,Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm,labio-special,ADS1015
P301,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,conn,CONN_01X04
P302,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,conn,CONN_01X04
P303,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,conn,CONN_01X04
C301,0.1uF,Capacitors_SMD:C_0603,device,C_Small
Q301,PHOTOTRANSISTOR,LEDs:LED-0603,labio-special,PHOTOTRANSISTOR
R301,1.5k,Resistors_SMD:R_0603,device,R_Small
SW301,DIP_SWITCH_X04,labio-special:DIP-8_W7.62mm_SMT,labio-special,DIP_SWITCH_X04
D301,Led_Small,LEDs:LED-0603,device,Led_Small
R302,220,Resistors_SMD:R_0603,device,R_Small
Q303,Q_NMOS_GSD,TO_SOT_Packages_SMD:SOT-23,device,Q_NMOS_GSD
Q302,Q_NMOS_GSD,TO_SOT_Packages_SMD:SOT-23,device,Q_NMOS_GSD
R304,10k,Resistors_SMD:R_0603,device,R_Small
R303,10k,Resistors_SMD:R_0603,device,R_Small
P401,SFV12R-1ST__HLF,labio-special:SFVxxR-xSTxxHLF,conn,CONN_01X12
R401,0,Resistors_SMD:R_0603,device,R_Small
SW401,DIP_SWITCH_X04,labio-special:DIP-8_W7.62mm_SMT,labio-special,DIP_SWITCH_X04
R403,0,Resistors_SMD:R_0603,device,R_Small
R402,0,Resistors_SMD:R_0603,device,R_Small
C505,4.7uF,Capacitors_SMD:C_0805,device,C_Small
C503,0.1uF,Capacitors_SMD:C_0603,device,C_Small
C502,0.1uF,Capacitors_SMD:C_0603,device,C_Small
C506,0.1uF,Capacitors_SMD:C_0603,device,C_Small
C504,0.1uF,Capacitors_SMD:C_0603,device,C_Small
SW501,DIP_SWITCH_X04,labio-special:DIP-8_W7.62mm_SMT,labio-special,DIP_SWITCH_X04
D501,Led_Small,LEDs:LED-0603,device,Led_Small
R501,220,Resistors_SMD:R_0603,device,R_Small
C501,4.7uF,Capacitors_SMD:C_0805,device,C_Small
U501,LSM303D,labio-special:LGA-16_3x3mm_Pitch0.5mm_ST,labio-special,LSM303D
C513,0.22uF,Capacitors_SMD:C_0603,device,C_Small
U502,BMP280,labio-special:LGA-8_2.5x2.0mm_Pitch0.65mm_BMx280,labio-special,BMP280
R509,0,Resistors_SMD:R_0603,device,R_Small
R513,0,Resistors_SMD:R_0603,device,R_Small
R506,0,Resistors_SMD:R_0603,device,R_Small
R508,0,Resistors_SMD:R_0603,device,R_Small
R512,dnp-0,Resistors_SMD:R_0603,device,R_Small
C512,0.01uF-25V,Capacitors_SMD:C_0603,device,C_Small
C511,0.1uF,Capacitors_SMD:C_0603,device,C_Small
C510,0.1uF,Capacitors_SMD:C_0603,device,C_Small
